elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),Asus,VivoBook S Series,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đài Loan,laptop,16.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,ProBook,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,7-12 tháng,Đang cập nhật,laptop,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,32 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,4-6 tháng,Mỹ,laptop,13.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,7-12 tháng,Đang cập nhật,laptop,5.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Mỹ,laptop,4.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i5,8 GB,500 GB,In trên bao bì,NVIDIA,,Bảo hành hãng,Đang cập nhật,laptop,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,laptop,9.800.000 đ
Đã sử dụng (qua sửa chữa),Dell,Latitude,Intel Core i5,4 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,laptop,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook,Intel Core i7,4 GB,128 GB,In trên bao bì,Khác,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,2.999.999 đ
Đã sử dụng (chưa sửa chữa),Sony,S Series,Intel Core i7,8 GB,640 GB,In trên bao bì,Onboard,15 - 16.9 inch,3 tháng,Nhật Bản,laptop,3.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Khác,32 GB,500 GB,In trên bao bì,Khác,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,laptop,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Dòng Khác,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Nhật Bản,laptop,3.950.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Legion Y Series,Intel Core i5,16 GB,> 1 TB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Việt Nam,laptop,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,3 tháng,Mỹ,laptop,3.700.000 đ
Đã sử dụng (qua sửa chữa),Dell,Dòng Khác,Intel Core 2 Duo,2 GB,< 128 GB,In trên bao bì,Khác,11 - 12.9 inch,Hết bảo hành,Đang cập nhật,laptop,1.500.000 đ
